rung,system,runs,runs_collapsed,alive_at_end,alive_worst,runs_whole,alive_complete_runs,unemployed,tickets,bread_price,public_debt,public_debt_pct_gdp,shortfall_per_month,public_debt_peak,public_debt_peak_month,runs_debt_repaid,public_debt_repaid_month,gini_cash,gini_wealth,wealth_gap_meals,wealth_bottom10_meals,cash_gap_meals,cash_bottom10_meals,under_water,without_cash,land_held_by_households,gini_wealth_firms_attributed,liquidations,refoundings,bank_bailouts,worst_identity_gap
"G10-40 step 10, public employment 40 %",debt,10,0,511.9,511,10,511.9,22.9,147.40833333333333,8.213148231457541,258809.42599000013,200.5673243641823,1995.8963202931868,258809.42599000013,120.0,0,,0.3886990675658236,0.7442043528474425,664.2123038702666,2.2433159380015804,10.776725797680555,1.2985919983344378,0.2,0.0,0.9302083333333334,0.7442043528474425,0.0,0.0,0.0,9.458744898438454e-11
"G10-40 step 10, public employment 40 %",sumsy,10,0,512.0,512,10,512.0,20.4,203.15833333333336,13.607457175067584,392235.1846899999,142.30575236498225,4953.778203333333,392235.1846899999,120.0,0,,0.2512954448705055,0.7431586504111124,1055.4681741877387,3.402456722459813,10.127385635855905,2.654459918485117,0.4,0.0,0.9345052083333334,0.7431586504111124,0.0,0.0,0.0,1.8917489796876907e-10
"G10-50 step 10, public employment 50 %",debt,10,0,512.0,512,10,512.0,0.0,147.05833333333334,8.558371177303833,275338.17694999994,208.04647062473205,2177.8523183333336,275338.17694999994,120.0,0,,0.3775034520350835,0.7361978008026404,657.4656792492813,3.7040225237189532,10.965583177494238,1.554861878195558,0.0,0.0,0.934765625,0.7361978008026404,0.0,0.0,0.0,7.275957614183426e-11
"G10-50 step 10, public employment 50 %",sumsy,10,0,512.0,512,10,512.0,0.0,210.825,13.608348562221162,402987.8431999999,142.99056841518447,5454.791069166668,402987.8431999999,120.0,0,,0.21687489986647152,0.7398887156093975,979.1582562862295,3.875249616579783,8.56689421428586,2.937680608067756,0.0,0.0,0.9365885416666666,0.7398887156093975,0.0,0.0,0.0,2.0372681319713593e-10
"G8-20 step 8, public employment 20 %",debt,10,0,510.5,509,10,510.5,124.8,150.76666666666668,8.638122798738934,251068.7430399999,192.10772449564996,1981.7147147804203,251068.7430399999,120.0,0,,0.45530863716327197,0.7656645625971246,680.0920908492573,-0.5588486735581182,11.52654715193503,0.7656121120369385,41.5,0.0,0.9311197916666666,0.7656645625971246,0.0,0.0,0.0,7.275957614183426e-11
"G8-20 step 8, public employment 20 %",sumsy,10,0,510.5,507,10,510.5,119.5,265.25,12.460764452015331,118292.00003,52.96790778809119,1578.8145150000003,118292.00003,120.0,0,,0.5525948628423174,0.7770286870121492,1085.6718852740162,-2.7058928963891957,26.313782211025824,0.3996779430030991,110.7,6.6,0.9244791666666666,0.7770286870121492,0.0,0.0,0.0,2.3283064365386963e-10
"G8-30 step 8, public employment 30 %",debt,10,0,511.3,510,10,511.3,73.6,150.99166666666667,8.448508714308318,255387.06625,196.80961576971706,1994.0195901488885,255387.06625,120.0,0,,0.42956172284060984,0.7545439958513953,678.4349372281171,0.80572315873767,11.66041034174525,0.9907294800285585,8.0,0.0,0.9334635416666666,0.7545439958513953,0.0,0.0,0.0,1.6007106751203537e-10
"G8-30 step 8, public employment 30 %",sumsy,10,0,511.7,511,10,511.7,67.2,235.29166666666666,13.37440981604875,264241.51256000006,102.33566647715088,3323.7259916666662,264241.51256000006,120.0,0,,0.4048687007551198,0.7595660877098472,1190.3373140299254,-0.1169278884077302,16.769263045495997,1.283089202773518,26.2,1.7,0.9309895833333334,0.7595660877098472,0.0,0.0,0.0,1.7462298274040222e-10
"G8-40 step 8, public employment 40 %",debt,10,0,511.9,511,10,511.9,22.9,147.40833333333333,8.213148231457541,258809.42599000013,200.5673243641823,1995.8963202931868,258809.42599000013,120.0,0,,0.3886990675658236,0.7442043528474425,664.2123038702666,2.2433159380015804,10.776725797680555,1.2985919983344378,0.2,0.0,0.9302083333333334,0.7442043528474425,0.0,0.0,0.0,9.458744898438454e-11
"G8-40 step 8, public employment 40 %",sumsy,10,0,512.0,512,10,512.0,20.4,203.15833333333336,13.607457175067584,392235.1846899999,142.30575236498225,4953.778203333333,392235.1846899999,120.0,0,,0.2512954448705055,0.7431586504111124,1055.4681741877387,3.402456722459813,10.127385635855905,2.654459918485117,0.4,0.0,0.9345052083333334,0.7431586504111124,0.0,0.0,0.0,1.8917489796876907e-10
"G8-50 step 8, public employment 50 %",debt,10,0,512.0,512,10,512.0,0.0,147.05833333333334,8.558371177303833,275338.17694999994,208.04647062473205,2177.8523183333336,275338.17694999994,120.0,0,,0.3775034520350835,0.7361978008026404,657.4656792492813,3.7040225237189532,10.965583177494238,1.554861878195558,0.0,0.0,0.934765625,0.7361978008026404,0.0,0.0,0.0,7.275957614183426e-11
"G8-50 step 8, public employment 50 %",sumsy,10,0,512.0,512,10,512.0,0.0,210.825,13.608348562221162,402987.8431999999,142.99056841518447,5454.791069166668,402987.8431999999,120.0,0,,0.21687489986647152,0.7398887156093975,979.1582562862295,3.875249616579783,8.56689421428586,2.937680608067756,0.0,0.0,0.9365885416666666,0.7398887156093975,0.0,0.0,0.0,2.0372681319713593e-10
"GP10-20 step 10, public employment 20 %, parking tax policy",sumsy,10,0,510.2,506,10,510.2,119.6,258.5333333333333,13.009429664018853,248.05377,0.11125009809043443,-297.4936733333336,18251.69805,31.1,10,75.1,0.560583014600237,0.7801911103661465,944.0573783556131,-2.6740694765461046,23.425010302178936,0.3071618500366454,134.3,8.7,0.9264322916666666,0.7801911103661465,0.0,0.0,0.0,1.8917489796876907e-10
"GP10-30 step 10, public employment 30 %, parking tax policy",sumsy,10,0,511.4,510,10,511.4,68.0,221.05,13.734454522089692,0.0,0.0,-1114.8787866666667,63498.946939999994,65.1,10,114.0,0.4344349750865527,0.7667657346387401,965.4976404079496,-0.7183879522585374,14.827299279245006,0.9146863836323001,51.7,1.4,0.9303385416666666,0.7667657346387401,0.0,0.0,0.0,1.7462298274040222e-10
